Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Gears,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions,Fuel avg 
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,0,5,0,15.7,9.6,12.9,22,302,15.05
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,0,5,0,16.1,10,13.4,21,313,15.125
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,0,5,0,14.1,11.1,12.8,22,299,15
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,0,5,0,14.8,11.7,13.4,21,314,15.225
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,0,5,0,13.6,10.4,12.1,23,285,14.775
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,0,5,0,14.8,10.3,12.7,22,300,14.95
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,15.7,11.3,13.7,21,322,15.425
DODGE,CHARGER,FULL-SIZE,3.6,6,0,5,0,13.7,9,11.6,24,271,14.575
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,0,5,0,15.6,9.7,12.9,22,302,15.05
DODGE,CHARGER AWD,FULL-SIZE,5.7,8,0,5,0,16,10.1,13.3,21,312,15.1
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,0,5,0,14.1,11.1,12.8,22,299,15
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,0,5,0,14.7,11.7,13.4,21,313,15.2
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,0,5,0,13.5,10.5,12.2,23,286,14.8
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,0,5,0,14.8,10.6,12.9,22,304,15.075
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,15.8,11.5,13.8,20,326,15.275
DODGE,CHARGER,FULL-SIZE,3.6,6,0,5,0,13.7,9,11.6,24,271,14.575
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,0,13.7,9,11.6,24,271,14.575
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,3,18.9,12.7,16.1,18,268,16.425
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,0,5,0,15.6,9.7,12.9,22,302,15.05
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,0,5,0,16,10.1,13.3,21,312,15.1
JEEP,WRANGLER JK 4X4,SUV - SMALL,3.6,6,0,5,0,14.1,11.1,12.8,22,299,15
JEEP,WRANGLER JK UNLIMITED 4X4,SUV - SMALL,3.6,6,0,5,0,14.7,11.7,13.4,21,313,15.2
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,0,5,0,13.6,10.7,12.3,23,290,14.9
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,0,5,0,14.7,10.4,12.8,22,300,14.975
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,15.8,11.5,13.9,20,326,15.3
DODGE,Charger,FULL-SIZE,3.6,6,0,5,0,13.7,9,11.6,24,271,14.575
DODGE,Charger FFV,FULL-SIZE,3.6,6,0,5,0,13.7,9,11.6,24,271,14.575
DODGE,Charger FFV,FULL-SIZE,3.6,6,0,5,3,18.9,12.7,16.1,18,268,16.425
DODGE,Charger (MDS),FULL-SIZE,5.7,8,0,5,0,15.6,9.7,12.9,22,302,15.05
DODGE,Charger AWD (MDS),FULL-SIZE,5.7,8,0,5,0,16,10.1,13.3,21,312,15.1
NISSAN,Frontier,PICKUP TRUCK - SMALL,2.5,4,0,5,0,13.7,10.7,12.3,23,290,14.925
NISSAN,Frontier,PICKUP TRUCK - SMALL,4,6,0,5,0,14.7,10.3,12.7,22,299,14.925
NISSAN,Frontier 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,15.8,11.5,13.9,20,326,15.3
DODGE,Charger,FULL-SIZE,3.6,6,0,5,0,13.7,9,11.6,24,271,14.575
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,0,6,1,18,12.6,15.6,18,359,16.05
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,0,6,1,18,12.6,15.6,18,359,16.05
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,0,6,1,18,12.6,15.6,18,359,16.05
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,0,6,1,10.4,7.6,9.1,31,209,14.525
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,0,6,1,10.4,7.6,9.1,31,209,14.525
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,0,6,1,11.5,8.8,10.3,27,237,14.4
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,0,6,1,11.5,8.8,10.3,27,237,14.4
BMW,X1 xDRIVE35i,SUV - SMALL,3,6,0,6,1,13.2,8.9,11.3,25,260,14.6
BMW,X6 M,SUV - STANDARD,4.4,8,0,6,1,18.1,13.7,16.1,18,370,16.475
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,0,6,0,14.3,9.9,12.3,23,283,14.875
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,0,6,0,14.6,10.2,12.6,22,290,14.85
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,0,6,1,17,11.8,14.7,19,338,15.625
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,0,6,3,23.3,16.1,20.1,14,322,18.375
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,0,6,1,18.8,13.4,16.4,17,377,16.4
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,0,6,3,25.7,17.8,22.1,13,354,19.65
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,0,6,0,9.1,6,7.7,37,177,14.95
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,0,6,0,10.5,7.3,9.1,31,209,14.475
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,0,6,0,13.9,9.6,12,24,276,14.875
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,0,6,3,18.8,13.1,16.2,17,259,16.275
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,0,6,0,11.5,8.2,10,28,230,14.425
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,0,6,0,14.8,9.9,12.6,22,290,14.825
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,0,6,3,19.8,13.6,17,17,272,16.85
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,0,6,0,21.1,14.2,18,16,414,17.325
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,0,6,0,21.9,15,18.8,15,432,17.675
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,0,6,3,30,20.4,25.7,11,411,21.775
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,0,6,0,21.3,14.3,18.2,16,419,17.45
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,0,6,0,22.1,15,18.9,15,435,17.75
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,0,6,3,30.2,20.5,25.8,11,413,21.875
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,0,6,0,13.4,9.9,11.8,24,271,14.775
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,0,6,3,18.9,14.2,16.8,17,269,16.725
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,0,6,0,14.6,10.3,12.7,22,292,14.9
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,0,6,3,19.5,13.7,16.9,17,270,16.775
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,0,6,1,16.3,11.4,14.1,20,324,15.45
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,0,6,0,14.2,10.6,12.6,22,290,14.85
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,0,6,3,20,15.1,17.8,16,285,17.225
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,0,6,0,14.9,10.6,13,22,299,15.125
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,0,6,3,19.9,14.2,17.3,16,277,16.85
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,0,6,1,16.4,11.7,14.3,20,329,15.6
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,0,6,0,16,11.1,13.8,20,317,15.225
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,0,6,3,21.5,14.6,18.4,15,294,17.375
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,0,6,0,16,11.1,13.8,20,317,15.225
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,0,6,3,21.5,14.6,18.4,15,294,17.375
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,0,6,0,16,11.1,13.8,20,317,15.225
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,0,6,3,21.5,14.6,18.4,15,294,17.375
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,0,6,0,16,11.1,13.8,20,317,15.225
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,0,6,3,21.5,14.6,18.4,15,294,17.375
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,0,6,0,14.3,9.9,12.3,23,283,14.875
